Config,K,Recall_mean,Recall_std,NDCG_mean,NDCG_std,mAP_mean,mAP_std
Config_A_alpha1.0,5,0.496,0.0109,0.2342,0.0065,0.1724,0.0059
Config_A_alpha1.0,10,0.5645,0.0149,0.2371,0.0066,0.1643,0.0061
Config_A_alpha1.0,15,0.6012,0.0147,0.2441,0.0068,0.1649,0.0062
Config_B_alpha0.7,5,0.4828,0.013,0.2289,0.0065,0.1695,0.0056
Config_B_alpha0.7,10,0.563,0.0125,0.2358,0.0068,0.1639,0.0061
Config_B_alpha0.7,15,0.607,0.0115,0.2436,0.007,0.1649,0.0062
Config_B_alpha0.5,5,0.4371,0.0092,0.1972,0.0048,0.1432,0.0047
Config_B_alpha0.5,10,0.5215,0.0115,0.2057,0.0053,0.1397,0.0051
Config_B_alpha0.5,15,0.5704,0.0137,0.2149,0.0061,0.1414,0.0054
Config_C_alpha0.7,5,0.8718,0.0041,0.6326,0.0039,0.5577,0.0042
Config_C_alpha0.7,10,0.9143,0.0035,0.6471,0.0033,0.554,0.004
Config_C_alpha0.7,15,0.9357,0.0029,0.6612,0.0034,0.5594,0.004
Config_C_alpha0.5,5,0.8709,0.0049,0.6241,0.0031,0.5478,0.0033
Config_C_alpha0.5,10,0.9144,0.0041,0.6399,0.0033,0.5454,0.004
Config_C_alpha0.5,15,0.9334,0.0025,0.655,0.003,0.5515,0.004
